id,date,text,fav_count,retweet_count,userName,follower_count,location,lang,url,rawText,reaction,positive,negative,neutral
1118771139965145089,Thu Apr 18 07:00:00 +0000 2019,breaking news: australia inc. hiring! thousands working holiday jobs grabs best workpla… https://t.co/o1jirlnrcs,318,75,Australia,537185,Australia,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FAustralia%2Fstatus%2F1118771139965145089,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FAustralia%2Fstatus%2F1118771139965145089,1.0,1,0,0
1117800500227977218,Mon Apr 15 14:43:01 +0000 2019,"terrible thing “weedcraft inc.” deal with, also write article game not… https://t.co/uf4ghw6gnb",141,19,_benjamming,2862,"Johannesburg, South Africa",en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2F_benjamming%2Fstatus%2F1117800500227977218,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2F_benjamming%2Fstatus%2F1117800500227977218,-0.7,0,1,0
1118438479862456320,Wed Apr 17 08:58:07 +0000 2019,"bumping cos we're choosing 5 #smarttroyesivan winners monday, april 22 #bloomtourmnl! winner wi… https://t.co/gmd20g1ha4",299,53,LiveSmart,1421392,Philippines,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FLiveSmart%2Fstatus%2F1118438479862456320,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FLiveSmart%2Fstatus%2F1118438479862456320,0.0,0,0,1
1121194517753942016,Wed Apr 24 23:29:38 +0000 2019,it’s wonderful see team landscape structures inc today show dream built.… https://t.co/xd8obnbnmm,0,0,corrie817,168,"Fort Worth, TX",en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2Fcorrie817%2Fstatus%2F1121194517753942016,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2Fcorrie817%2Fstatus%2F1121194517753942016,1.0,1,0,0
1121194253835751425,Wed Apr 24 23:28:35 +0000 2019,movie looks perfectly awful best ways — watching octaman regal cinema inc 706 https://t.co/5vgtageno8,0,0,vallinaice,2982,tampa FL,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2Fvallinaice%2Fstatus%2F1121194253835751425,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2Fvallinaice%2Fstatus%2F1121194253835751425,0.0,0,0,1
1121194011115622400,Wed Apr 24 23:27:37 +0000 2019,"take @mariekondo #justkidding love work, i’m keeping books. #science #books #booklovers https://t.co/7iozfq6otk",0,0,tammybangs,513,Parker CO,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2Ftammybangs%2Fstatus%2F1121194011115622400,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2Ftammybangs%2Fstatus%2F1121194011115622400,0.5,1,0,0
1121193221370126337,Wed Apr 24 23:24:29 +0000 2019,"4/24 6:23 p.m. 1500 blk maple ave, aberdeen aberdeen fire department, inc. arrived location working detac… https://t.co/pbcgr5nkx1",0,0,HarforCoFireEMS,7428,"Harford County, Maryland",en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FHarforCoFireEMS%2Fstatus%2F1121193221370126337,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FHarforCoFireEMS%2Fstatus%2F1121193221370126337,0.0,0,0,1
1121191504968597504,Wed Apr 24 23:17:40 +0000 2019,"update 2-facebook beats profit estimates, sets aside $3 bln privacy penalty (reuters) – facebook inc wedne… https://t.co/33pcdygucd",0,0,Rocketnews1,449,,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FRocketnews1%2Fstatus%2F1121191504968597504,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FRocketnews1%2Fstatus%2F1121191504968597504,0.0,0,0,1
1121190399987658752,Wed Apr 24 23:13:16 +0000 2019,ffwa inc. delighted see senate candidate specific policy opposing fluoridation public water suppl… https://t.co/970zo3n94s,0,0,FluorideFreeWA,474,Western Australia,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FFluorideFreeWA%2Fstatus%2F1121190399987658752,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FFluorideFreeWA%2Fstatus%2F1121190399987658752,0.2333333333333333,1,0,0
1121188425959395330,Wed Apr 24 23:05:26 +0000 2019,50kwp solar power system chicken farm victoria https://t.co/a2bmrzlnge canadian solar inc. goodwe… https://t.co/1knjwueiuw,0,1,GreenpowerCo,210,Melbourne,en,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FGreenpowerCo%2Fstatus%2F1121188425959395330,https://twitframe.com/show?url=https%3A%2F%2Ftwitter.com%2FGreenpowerCo%2Fstatus%2F1121188425959395330,-0.6,0,1,0
